k,assignments_select,comparisons_select,operations_select,assignments_bubble,comparisons_bubble,operations_bubble,assignments_binInsertion,comparisons_binInsertion,operations_binInsertion
100,297,4950,5247,14850,4950,19800,5148,933,6081
200,597,19900,20497,59700,19900,79600,20298,2251,22549
300,897,44850,45747,134550,44850,179400,45448,3751,49199
400,1197,79800,80997,239400,79800,319200,80598,5285,85883
500,1497,124750,126247,374250,124750,499000,125748,6985,132733
600,1797,179700,181497,539100,179700,718800,180898,8685,189583
700,2097,244650,246747,733950,244650,978600,246048,10385,256433
800,2397,319600,321997,958800,319600,1278400,321198,12151,333349
900,2697,404550,407247,1213650,404550,1618200,406348,14051,420399
1000,2997,499500,502497,1498500,499500,1998000,501498,15951,517449
1100,3297,604450,607747,1813350,604450,2417800,606648,17851,624499
1200,3597,719400,722997,2158200,719400,2877600,721798,19751,741549
1300,3897,844350,848247,2533050,844350,3377400,846948,21651,868599
1400,4197,979300,983497,2937900,979300,3917200,982098,23551,1005649
1500,4497,1124250,1128747,3372750,1124250,4497000,1127248,25451,1152699
1600,4797,1279200,1283997,3837600,1279200,5116800,1282398,27481,1309879
1700,5097,1444150,1449247,4332450,1444150,5776600,1447548,29581,1477129
1800,5397,1619100,1624497,4857300,1619100,6476400,1622698,31681,1654379
1900,5697,1804050,1809747,5412150,1804050,7216200,1807848,33781,1841629
2000,5997,1999000,2004997,5997000,1999000,7996000,2002998,35881,2038879
2100,6297,2203950,2210247,6611850,2203950,8815800,2208148,37981,2246129
2200,6597,2418900,2425497,7256700,2418900,9675600,2423298,40081,2463379
2300,6897,2643850,2650747,7931550,2643850,10575400,2648448,42181,2690629
2400,7197,2878800,2885997,8636400,2878800,11515200,2883598,44281,2927879
2500,7497,3123750,3131247,9371250,3123750,12495000,3128748,46381,3175129
2600,7797,3378700,3386497,10136100,3378700,13514800,3383898,48481,3432379
2700,8097,3643650,3651747,10930950,3643650,14574600,3649048,50581,3699629
2800,8397,3918600,3926997,11755800,3918600,15674400,3924198,52681,3976879
2900,8697,4203550,4212247,12610650,4203550,16814200,4209348,54781,4264129
3000,8997,4498500,4507497,13495500,4498500,17994000,4504498,56881,4561379
3100,9297,4803450,4812747,14410350,4803450,19213800,4809648,59039,4868687
3200,9597,5118400,5127997,15355200,5118400,20473600,5124798,61339,5186137
3300,9897,5443350,5453247,16330050,5443350,21773400,5449948,63639,5513587
3400,10197,5778300,5788497,17334900,5778300,23113200,5785098,65939,5851037
3500,10497,6123250,6133747,18369750,6123250,24493000,6130248,68239,6198487
3600,10797,6478200,6488997,19434600,6478200,25912800,6485398,70539,6555937
3700,11097,6843150,6854247,20529450,6843150,27372600,6850548,72839,6923387
3800,11397,7218100,7229497,21654300,7218100,28872400,7225698,75139,7300837
3900,11697,7603050,7614747,22809150,7603050,30412200,7610848,77439,7688287
4000,11997,7998000,8009997,23994000,7998000,31992000,8005998,79739,8085737
4100,12297,8402950,8415247,25208850,8402950,33611800,8411148,82039,8493187
4200,12597,8817900,8830497,26453700,8817900,35271600,8826298,84339,8910637
4300,12897,9242850,9255747,27728550,9242850,36971400,9251448,86639,9338087
4400,13197,9677800,9690997,29033400,9677800,38711200,9686598,88939,9775537
4500,13497,10122750,10136247,30368250,10122750,40491000,10131748,91239,10222987
4600,13797,10577700,10591497,31733100,10577700,42310800,10586898,93539,10680437
4700,14097,11042650,11056747,33127950,11042650,44170600,11052048,95839,11147887
4800,14397,11517600,11531997,34552800,11517600,46070400,11527198,98139,11625337
4900,14697,12002550,12017247,36007650,12002550,48010200,12012348,100439,12112787
5000,14997,12497500,12512497,37492500,12497500,49990000,12507498,102739,12610237
5100,15297,13002450,13017747,39007350,13002450,52009800,13012648,105039,13117687
5200,15597,13517400,13532997,40552200,13517400,54069600,13527798,107339,13635137
5300,15897,14042350,14058247,42127050,14042350,56169400,14052948,109639,14162587
5400,16197,14577300,14593497,43731900,14577300,58309200,14588098,111939,14700037
5500,16497,15122250,15138747,45366750,15122250,60489000,15133248,114239,15247487
5600,16797,15677200,15693997,47031600,15677200,62708800,15688398,116539,15804937
5700,17097,16242150,16259247,48726450,16242150,64968600,16253548,118839,16372387
5800,17397,16817100,16834497,50451300,16817100,67268400,16828698,121139,16949837
5900,17697,17402050,17419747,52206150,17402050,69608200,17413848,123439,17537287
6000,17997,17997000,18014997,53991000,17997000,71988000,18008998,125739,18134737
6100,18297,18601950,18620247,55805850,18601950,74407800,18614148,128039,18742187
6200,18597,19216900,19235497,57650700,19216900,76867600,19229298,130453,19359751
6300,18897,19841850,19860747,59525550,19841850,79367400,19854448,132953,19987401
6400,19197,20476800,20495997,61430400,20476800,81907200,20489598,135453,20625051
6500,19497,21121750,21141247,63365250,21121750,84487000,21134748,137953,21272701
6600,19797,21776700,21796497,65330100,21776700,87106800,21789898,140453,21930351
6700,20097,22441650,22461747,67324950,22441650,89766600,22455048,142953,22598001
6800,20397,23116600,23136997,69349800,23116600,92466400,23130198,145453,23275651
6900,20697,23801550,23822247,71404650,23801550,95206200,23815348,147953,23963301
7000,20997,24496500,24517497,73489500,24496500,97986000,24510498,150453,24660951
7100,21297,25201450,25222747,75604350,25201450,100805800,25215648,152953,25368601
7200,21597,25916400,25937997,77749200,25916400,103665600,25930798,155453,26086251
7300,21897,26641350,26663247,79924050,26641350,106565400,26655948,157953,26813901
7400,22197,27376300,27398497,82128900,27376300,109505200,27391098,160453,27551551
7500,22497,28121250,28143747,84363750,28121250,112485000,28136248,162953,28299201
7600,22797,28876200,28898997,86628600,28876200,115504800,28891398,165453,29056851
7700,23097,29641150,29664247,88923450,29641150,118564600,29656548,167953,29824501
7800,23397,30416100,30439497,91248300,30416100,121664400,30431698,170453,30602151
7900,23697,31201050,31224747,93603150,31201050,124804200,31216848,172953,31389801
8000,23997,31996000,32019997,95988000,31996000,127984000,32011998,175453,32187451
8100,24297,32800950,32825247,98402850,32800950,131203800,32817148,177953,32995101
8200,24597,33615900,33640497,100847700,33615900,134463600,33632298,180453,33812751
8300,24897,34440850,34465747,103322550,34440850,137763400,34457448,182953,34640401
8400,25197,35275800,35300997,105827400,35275800,141103200,35292598,185453,35478051
8500,25497,36120750,36146247,108362250,36120750,144483000,36137748,187953,36325701
8600,25797,36975700,37001497,110927100,36975700,147902800,36992898,190453,37183351
8700,26097,37840650,37866747,113521950,37840650,151362600,37858048,192953,38051001
8800,26397,38715600,38741997,116146800,38715600,154862400,38733198,195453,38928651
8900,26697,39600550,39627247,118801650,39600550,158402200,39618348,197953,39816301
9000,26997,40495500,40522497,121486500,40495500,161982000,40513498,200453,40713951
9100,27297,41400450,41427747,124201350,41400450,165601800,41418648,202953,41621601
9200,27597,42315400,42342997,126946200,42315400,169261600,42333798,205453,42539251
9300,27897,43240350,43268247,129721050,43240350,172961400,43258948,207953,43466901
9400,28197,44175300,44203497,132525900,44175300,176701200,44194098,210453,44404551
9500,28497,45120250,45148747,135360750,45120250,180481000,45139248,212953,45352201
9600,28797,46075200,46103997,138225600,46075200,184300800,46094398,215453,46309851
9700,29097,47040150,47069247,141120450,47040150,188160600,47059548,217953,47277501
9800,29397,48015100,48044497,144045300,48015100,192060400,48034698,220453,48255151
9900,29697,49000050,49029747,147000150,49000050,196000200,49019848,222953,49242801
