k,operations_quickSort,operationsHeapSort
100,1925,3025
200,4262,6995
300,6931,11440
400,9480,16080
500,13000,20790
600,15556,25570
700,17837,30590
800,22969,35700
900,25664,41225
1000,33425,46545
1100,35240,51850
1200,38717,57180
1300,39063,62890
1400,51748,68540
1500,43458,74010
1600,52738,79700
1700,54581,85840
1800,62332,91635
1900,58508,97050
2000,63368,102600
2100,76016,108665
2200,76004,114650
2300,78768,120740
2400,78426,126570
2500,90859,132725
2600,85673,138855
2700,92644,144900
2800,92718,151130
2900,108601,157405
3000,103439,164005
3100,105270,169680
3200,111742,175955
3300,112797,182235
3400,133814,188195
3500,125190,194115
3600,133729,200755
3700,123358,206740
3800,150732,212495
3900,139754,219005
4000,140338,225520
4100,142158,231705
4200,155281,238510
4300,158622,245100
4400,162171,251380
4500,175980,257820
4600,168850,264050
4700,167395,270525
4800,189522,277590
4900,188433,283790
5000,187378,290740
5100,183208,297115
5200,201276,303770
5300,197552,309925
5400,216990,316735
5500,203191,323240
5600,230015,330045
5700,220900,336575
5800,231479,343430
5900,243460,350255
6000,219732,356570
6100,250153,363640
6200,259532,369905
6300,231404,376970
6400,237196,383395
6500,244310,389635
6600,270355,397440
6700,250741,403250
6800,254291,410345
6900,276807,416745
7000,266799,423910
7100,284431,430210
7200,280012,437220
7300,283171,444740
7400,297671,451110
7500,304998,457545
7600,286160,464600
7700,326475,471215
7800,320490,477070
7900,326325,484095
8000,299521,491410
8100,333881,497760
8200,321881,504610
8300,322005,511265
8400,346955,519135
8500,382283,525635
8600,325732,532165
8700,350757,539785
8800,365412,546875
8900,365012,553500
9000,397754,560710
9100,399654,568640
9200,368405,574210
9300,370952,581730
9400,361833,588665
9500,395472,594995
9600,396045,602760
9700,438890,609155
9800,407070,616575
9900,376754,623720
100,1892,3005
200,4311,6900
300,6344,11215
400,13866,15985
500,12661,20570
600,16611,25485
700,18488,31000
800,21517,36075
900,26788,41135
1000,30919,46280
1100,31236,51755
1200,34862,57280
1300,43506,63060
1400,47192,68375
1500,44806,74365
1600,56075,80010
1700,62542,85780
1800,57867,91650
1900,69019,97005
2000,65291,102975
2100,75836,108660
2200,73393,114735
2300,72334,120360
2400,77186,126595
2500,86770,133005
2600,90154,139105
2700,100951,144975
2800,105646,151080
2900,96779,156900
3000,95825,163550
3100,117035,169300
3200,130321,175750
3300,112654,181475
3400,123545,188370
3500,151331,193995
3600,126485,200305
3700,129164,207050
3800,155102,213095
3900,138075,219170
4000,159903,225360
4100,139875,231795
4200,144809,238400
4300,164601,244805
4400,157918,250925
4500,179240,257455
4600,158239,264530
4700,194977,271105
4800,188482,277465
4900,170059,283800
5000,198438,290435
5100,182681,297240
5200,193696,303920
5300,213527,310150
5400,212492,316805
5500,196372,323275
5600,219135,329760
5700,215548,336830
5800,276854,343600
5900,235847,349800
6000,245304,356430
6100,274947,362815
6200,221540,371005
6300,236219,376960
6400,262617,383340
6500,289374,390365
6600,260052,397030
6700,262531,403610
6800,279442,410785
6900,313616,417155
7000,274598,424315
7100,272491,430190
7200,295638,437610
7300,287706,444130
7400,289832,450605
7500,309741,456970
7600,301829,463955
7700,312115,470905
7800,312296,477945
7900,299849,484265
8000,317297,491210
8100,315812,497975
8200,305487,504740
8300,337862,511480
8400,312938,518585
8500,330853,525475
8600,372768,533130
8700,349365,539810
8800,339701,546370
8900,366018,553200
9000,371540,560370
9100,344640,568050
9200,363895,574925
9300,348604,581505
9400,396561,588615
9500,371458,595420
9600,392067,602650
9700,401857,609190
9800,397330,616965
9900,380313,623865
100,1815,2980
200,4805,6990
300,7404,11495
400,10395,15995
500,11063,20800
600,16925,25710
700,20377,30790
800,23832,36045
900,24575,41070
1000,31175,46220
1100,32941,51665
1200,38830,57505
1300,39031,62825
1400,47976,68625
1500,45608,74195
1600,50520,79875
1700,55486,85470
1800,54348,91305
1900,60803,96945
2000,65243,103020
2100,69304,108485
2200,82060,114595
2300,76021,120465
2400,79462,127035
2500,75124,132590
2600,86888,138925
2700,85122,144865
2800,94037,151110
2900,99847,156895
3000,117077,163495
3100,111524,169485
3200,113204,175385
3300,113350,181950
3400,120875,187980
3500,128466,194450
3600,130887,200825
3700,135518,206815
3800,137278,213240
3900,141845,220055
4000,138365,225115
4100,141689,231975
4200,161235,238335
4300,155291,244950
4400,158290,251520
4500,184942,257965
4600,211144,263970
4700,168471,271145
4800,203715,277155
4900,200459,283875
5000,202454,290485
5100,195521,297255
5200,205613,303375
5300,204846,309685
5400,193511,317250
5500,214818,323635
5600,213257,330455
5700,207838,336815
5800,246640,343795
5900,222092,350560
6000,216608,356685
6100,239736,363265
6200,243251,369795
6300,247091,376805
6400,284126,383280
6500,244235,390295
6600,250926,397165
6700,249278,403300
6800,293792,409755
6900,257823,416780
7000,294427,423840
7100,268074,430565
7200,289526,436800
7300,290402,444070
7400,283248,451245
7500,325512,457175
7600,294433,464725
7700,293544,470635
7800,321249,477830
7900,314799,484045
8000,314414,490935
8100,305855,497370
8200,334928,505085
8300,357223,511650
8400,328710,518770
8500,353811,525530
8600,382607,532925
8700,338611,539535
8800,390957,546885
8900,363536,554365
9000,358652,560220
9100,395646,567675
9200,381720,575195
9300,358817,581555
9400,416943,588675
9500,427072,595885
9600,407078,602700
9700,393643,610040
9800,440246,617285
9900,409152,623780
100,1586,2985
200,4110,6965
300,8157,11370
400,9882,16015
500,14694,20770
600,15880,25725
700,20825,30900
800,21839,35930
900,24330,41245
1000,28028,46195
1100,32322,51760
1200,49300,57575
1300,42931,62950
1400,54011,68755
1500,59617,74220
1600,50579,80060
1700,61344,85630
1800,55187,91250
1900,61953,96825
2000,69246,102790
2100,72840,108710
2200,70853,114385
2300,78049,120605
2400,82656,126325
2500,92702,132720
2600,85896,138950
2700,97782,145160
2800,97815,150725
2900,100004,157240
3000,118603,163265
3100,105841,169675
3200,107300,175650
3300,118209,181690
3400,115851,188150
3500,129416,194055
3600,136378,201055
3700,137467,206570
3800,139906,213200
3900,140719,219180
4000,149997,225560
4100,165449,231420
4200,170557,238860
4300,158573,244595
4400,151035,250750
4500,160764,257595
4600,163977,264315
4700,177046,270790
4800,182424,277225
4900,197769,283705
5000,198225,290440
5100,196674,296775
5200,187973,303420
5300,186549,310310
5400,209530,317220
5500,206470,323510
5600,213008,330220
5700,222127,336755
5800,239019,343425
5900,212767,349860
6000,224022,356415
6100,253578,362925
6200,254448,370160
6300,236016,376820
6400,243652,383985
6500,256011,389860
6600,262117,396475
6700,250149,403355
6800,256148,410920
6900,260246,417520
7000,273800,423555
7100,288215,430125
7200,301632,436555
7300,281727,443930
7400,267120,450730
7500,285446,457110
7600,310887,464360
7700,325019,470995
7800,301825,477590
7900,365453,484790
8000,323334,491225
8100,323250,497000
8200,310343,504995
8300,344296,511760
8400,332874,518290
8500,353239,525775
8600,350850,533245
8700,360479,539915
8800,379198,546030
8900,364064,553705
9000,392236,560705
9100,361060,567415
9200,375269,574425
9300,379379,581915
9400,384654,588935
9500,376499,595950
9600,381768,601980
9700,452756,609880
9800,429190,616550
9900,391857,624410
100,2027,2970
200,4193,7020
300,7671,11375
400,9560,15970
500,12371,20855
600,16129,25630
700,19559,30800
800,24329,36030
900,26268,41125
1000,28621,46470
1100,36752,51820
1200,38916,57275
1300,38757,62800
1400,37346,68540
1500,49169,74340
1600,49685,79755
1700,53519,85455
1800,58604,91170
1900,62953,96995
2000,67565,102825
2100,74053,108875
2200,75997,114545
2300,87012,120925
2400,77626,126530
2500,81713,133170
2600,84571,138895
2700,94613,145325
2800,107769,151115
2900,93715,156900
3000,114848,163060
3100,107870,169685
3200,116181,176045
3300,133793,182110
3400,122607,187635
3500,140911,194415
3600,130593,200420
3700,142788,206700
3800,151263,213305
3900,143826,219190
4000,152934,225525
4100,154063,231700
4200,152559,238060
4300,157370,244630
4400,164366,251455
4500,184772,257895
4600,173063,264320
4700,167523,270640
4800,182315,277255
4900,178170,283725
5000,186995,290475
5100,192508,296825
5200,203719,303875
5300,192148,310405
5400,215697,317095
5500,217527,323070
5600,229866,330210
5700,246267,337240
5800,227172,343705
5900,222873,349995
6000,217012,356465
6100,241278,363270
6200,242716,369830
6300,254801,377085
6400,249470,383680
6500,260491,390025
6600,236074,397415
6700,273759,403755
6800,279908,410060
6900,284888,417315
7000,277204,423945
7100,281062,430410
7200,302250,437405
7300,285789,443895
7400,262710,450605
7500,320577,457355
7600,286818,463680
7700,306277,471325
7800,298475,477360
7900,316615,484365
8000,339041,491110
8100,372652,497700
8200,341081,504730
8300,341473,511100
8400,324946,518655
8500,326204,525485
8600,350502,532485
8700,347848,539300
8800,350921,546855
8900,361269,553095
9000,404223,560680
9100,384050,567530
9200,396952,574335
9300,395618,581355
9400,420039,588760
9500,395938,595420
9600,383650,602405
9700,374423,609555
9800,399274,616485
9900,435729,624550
