Row Labels,Average of operatinosK=5,Average of operationsK=10,Average of operationsK=100
100,1709.4,2052,3713.6
200,3376.4,4089.2,7159.4
300,5053,6118.2,10630.2
400,6697.4,8128.8,14106.4
500,8336.6,10120.2,17597.4
600,10003.4,12133.2,21076.6
700,11598.8,14106.8,24555.6
800,13233.4,16121.8,28026.8
900,14837.8,18083.6,31519.6
1000,16423.6,20045.8,34997.2
1100,18013.8,21962,38478.4
1200,19603.4,23926.6,41932
1300,21143.4,25929.6,45424.4
1400,22719.4,27829.2,48894.2
1500,24322.4,29751,52322.2
1600,25838.6,31670.8,55801.4
1700,27326.6,33560.2,59245.8
1800,28888.6,35444.8,62724.8
1900,30368.4,37372.2,66203.2
2000,31835.6,39247.4,69627.4
2100,33401,41062.6,73051.4
2200,34938,43043.8,76518.4
2300,36345.8,44809.8,79971
2400,37902.4,46624,83413.2
2500,39325.4,48559,86844.8
2600,40767.2,50345.4,90303.6
2700,42180,52164.6,93740.4
2800,43699.4,53992.6,97178
2900,45087.6,55793.8,100593.6
3000,46477.8,57632.4,104040
3100,48005.8,59464.6,107474.4
3200,49382.2,61169,110909
3300,50754.4,62989,114266.2
3400,52163,64733.4,117751.8
3500,53564.8,66525.6,121131.4
3600,54995,68327,124554
3700,56390.4,69961.4,127933.8
3800,57792.2,71861.6,131404
3900,59142.6,73577,134771.6
4000,60504.4,75316.2,138173
4100,61860.4,77046.8,141601.2
4200,63258.4,78803,145007.8
4300,64565.8,80449.4,148428.4
4400,65982.2,82138.4,151803.4
4500,67366.2,83870.4,155200.6
4600,68632.4,85606.8,158582.8
4700,69984.8,87244.4,161957.4
4800,71287.8,89164.6,165352
4900,72651.6,90644.6,168733.6
5000,73948.4,92455.4,172114
5100,75252.8,93998.6,175490.4
5200,76514.6,95711.4,178852.6
5300,77967,97429,182234.2
5400,79264.8,99004.2,185640
5500,80538,100669.8,189004.8
5600,81730.2,102264.6,192367
5700,83089.4,103990.4,195730.6
5800,84395.2,105593,199121.6
5900,85615.4,107231.4,202486.8
6000,86959.2,108810,205842.6
6100,88256.8,110434.8,209176.8
6200,89539.8,112141.8,212528.2
6300,90717.2,113603.2,215935
6400,92123,115258.2,219255.8
6500,93311.6,116896.8,222610.6
6600,94590.6,118567.2,225935
6700,95811.4,120178.8,229286
6800,97094.8,121708.4,232603.6
6900,98317,123304.6,235925.8
7000,99612,124793.6,239259
7100,100840,126344.4,242672.8
7200,102058.2,127908.8,245958
7300,103303,129409,249283.4
7400,104491,130959.6,252645.2
7500,105811,132604.6,255994
7600,107039.2,134126.4,259254.4
7700,108246,135672.2,262641.4
7800,109452.2,137255.4,265934.6
7900,110734,138707.6,269277
8000,111914,140325.6,272559.2
8100,113157.4,141835,275851.8
8200,114324,143296.6,279196.6
8300,115566.4,144817.4,282497.2
8400,116790.8,146336,285809.4
8500,118009.4,147991.4,289123.2
8600,119258.8,149331.8,292396.8
8700,120401.6,150841.8,295753
8800,121637.4,152340.4,299038.2
8900,122858,153902,302272.6
9000,124017,155339.4,305619
9100,125251,156797.2,308867.8
9200,126422.8,158361,312186
9300,127573.4,159791.6,315443.2
9400,128793.4,161241.4,318737.2
9500,130035,162753.4,322068.2
9600,131173,164187.2,325397.8
9700,132392.4,165655,328578.2
9800,133518.2,167134.8,331819.8
9900,134721.8,168597.4,335135.4
10000,135946.8,170031.4,338439.4
Grand Total,72701.254,90785.556,172865.786