k,assignments_select,comparisons_select
100,7605,4950
200,28920,19900
300,68739,44850
400,122358,79800
500,182187,124750
600,266241,179700
700,354744,244650
800,455979,319600
900,621699,404550
1000,743307,499500
1100,889833,604450
1200,1072500,719400
1300,1258446,844350
1400,1429638,979300
1500,1691355,1124250
1600,1886847,1279200
1700,2133567,1444150
1800,2406222,1619100
1900,2734920,1804050
2000,2988351,1999000
2100,3259362,2203950
2200,3567225,2418900
2300,3947529,2643850
2400,4321329,2878800
2500,4664157,3123750
2600,5010882,3378700
2700,5365632,3643650
2800,5736162,3918600
2900,6285615,4203550
3000,6760539,4498500
3100,7250493,4803450
3200,7619856,5118400
3300,8100510,5443350
3400,8688201,5778300
3500,9217899,6123250
3600,9858576,6478200
3700,10094196,6843150
3800,10568145,7218100
3900,11060856,7603050
4000,11799837,7998000
4100,12378198,8402950
4200,13051380,8817900
4300,13709445,9242850
4400,14423475,9677800
4500,15131271,10122750
4600,15487032,10577700
4700,16465107,11042650
4800,17032380,11517600
4900,17994726,12002550
5000,18566364,12497500
5100,19017564,13002450
5200,19923438,13517400
5300,21108462,14042350
5400,21423954,14577300
5500,22405125,15122250
5600,23468583,15677200
5700,24362712,16242150
5800,24784035,16817100
5900,25816236,17402050
6000,26885331,17997000
6100,27603291,18601950
6200,28453140,19216900
6300,29700336,19841850
6400,30342948,20476800
6500,30859155,21121750
6600,32219319,21776700
6700,33544554,22441650
6800,34499385,23116600
6900,35340867,23801550
7000,36444435,24496500
7100,37344519,25201450
7200,38674473,25916400
7300,39174465,26641350
7400,40789293,27376300
7500,41978544,28121250
7600,42531582,28876200
7700,43704495,29641150
7800,45233985,30416100
7900,46076058,31201050
8000,47681598,31996000
8100,49119255,32800950
8200,49803582,33615900
8300,51389040,34440850
8400,52628811,35275800
8500,53770716,36120750
8600,54463968,36975700
8700,56161554,37840650
8800,57291000,38715600
8900,58927512,39600550
9000,60048705,40495500
9100,62030271,41400450
9200,62897490,42315400
9300,63549336,43240350
9400,65211201,44175300
9500,66782298,45120250
9600,68469522,46075200
9700,69901128,47040150
9800,71698536,48015100
9900,73257375,49000050
100,6702,4950
200,28533,19900
300,66771,44850
400,123939,79800
500,182655,124750
600,258588,179700
700,357810,244650
800,492432,319600
900,609381,404550
1000,760854,499500
1100,896931,604450
1200,1071573,719400
1300,1256100,844350
1400,1452861,979300
1500,1625172,1124250
1600,1917975,1279200
1700,2148489,1444150
1800,2430822,1619100
1900,2624268,1804050
2000,2981364,1999000
2100,3240381,2203950
2200,3595845,2418900
2300,3899067,2643850
2400,4267548,2878800
2500,4634457,3123750
2600,5095896,3378700
2700,5273910,3643650
2800,5818491,3918600
2900,6169614,4203550
3000,6734439,4498500
3100,6939471,4803450
3200,7512384,5118400
3300,8075340,5443350
3400,8472069,5778300
3500,9086310,6123250
3600,9626172,6478200
3700,10236216,6843150
3800,10999257,7218100
3900,11154441,7603050
4000,11924289,7998000
4100,12189984,8402950
4200,12984294,8817900
4300,13732593,9242850
4400,14655888,9677800
4500,15097572,10122750
4600,15645786,10577700
4700,16380396,11042650
4800,16911432,11517600
4900,18074682,12002550
5000,18433872,12497500
5100,19355049,13002450
5200,20111814,13517400
5300,20698488,14042350
5400,21588468,14577300
5500,22595100,15122250
5600,23091528,15677200
5700,24163107,16242150
5800,25229469,16817100
5900,25576977,17402050
6000,26732940,17997000
6100,27346689,18601950
6200,28835406,19216900
6300,28955142,19841850
6400,29508894,20476800
6500,31140834,21121750
6600,32642448,21776700
6700,33466263,22441650
6800,34633539,23116600
6900,35260989,23801550
7000,36410688,24496500
7100,37543983,25201450
7200,38743152,25916400
7300,39519870,26641350
7400,40100322,27376300
7500,41557353,28121250
7600,42590280,28876200
7700,44066634,29641150
7800,45413073,30416100
7900,46027605,31201050
8000,47604606,31996000
8100,49536600,32800950
8200,50524791,33615900
8300,50862780,34440850
8400,52767354,35275800
8500,53615919,36120750
8600,54689874,36975700
8700,56817279,37840650
8800,57631278,38715600
8900,58073847,39600550
9000,60922149,40495500
9100,60985380,41400450
9200,62118825,42315400
9300,64603569,43240350
9400,66005883,44175300
9500,67236282,45120250
9600,67774320,46075200
9700,69663933,47040150
9800,71512515,48015100
9900,72826965,49000050
100,7872,4950
200,29730,19900
300,69540,44850
400,119382,79800
500,178035,124750
600,278949,179700
700,364602,244650
800,473838,319600
900,618705,404550
1000,749754,499500
1100,895635,604450
1200,1066074,719400
1300,1226418,844350
1400,1482111,979300
1500,1675194,1124250
1600,1944342,1279200
1700,2103936,1444150
1800,2446095,1619100
1900,2666004,1804050
2000,2963157,1999000
2100,3315855,2203950
2200,3637212,2418900
2300,3955425,2643850
2400,4308192,2878800
2500,4656711,3123750
2600,5095323,3378700
2700,5406942,3643650
2800,5847381,3918600
2900,6292971,4203550
3000,6587070,4498500
3100,7166733,4803450
3200,7680351,5118400
3300,8242137,5443350
3400,8494104,5778300
3500,9254094,6123250
3600,9664029,6478200
3700,10143456,6843150
3800,10781346,7218100
3900,11309850,7603050
4000,12100146,7998000
4100,12434931,8402950
4200,12908085,8817900
4300,13606938,9242850
4400,14350542,9677800
4500,15074046,10122750
4600,15597630,10577700
4700,16393494,11042650
4800,17045070,11517600
4900,17702751,12002550
5000,18319536,12497500
5100,19175319,13002450
5200,20361288,13517400
5300,20852580,14042350
5400,21498843,14577300
5500,22731306,15122250
5600,23329215,15677200
5700,24062718,16242150
5800,24468660,16817100
5900,26049651,17402050
6000,26944305,17997000
6100,27742920,18601950
6200,28547172,19216900
6300,29651082,19841850
6400,30202269,20476800
6500,31191057,21121750
6600,32210376,21776700
6700,33050802,22441650
6800,34141365,23116600
6900,35070186,23801550
7000,36317673,24496500
7100,37808196,25201450
7200,38295618,25916400
7300,39511689,26641350
7400,40202856,27376300
7500,41614380,28121250
7600,42723714,28876200
7700,44028354,29641150
7800,45086919,30416100
7900,46308123,31201050
8000,48093237,31996000
8100,48799833,32800950
8200,50100687,33615900
8300,51510891,34440850
8400,52607349,35275800
8500,53618202,36120750
8600,55505754,36975700
8700,55888008,37840650
8800,57198852,38715600
8900,59115984,39600550
9000,59744670,40495500
9100,61482876,41400450
9200,63327813,42315400
9300,64288623,43240350
9400,65586216,44175300
9500,66896358,45120250
9600,68572170,46075200
9700,70701591,47040150
9800,71167203,48015100
9900,72566988,49000050
100,6555,4950
200,30630,19900
300,64131,44850
400,118620,79800
500,186906,124750
600,265767,179700
700,365085,244650
800,492222,319600
900,589941,404550
1000,730347,499500
1100,894027,604450
1200,1082589,719400
1300,1271271,844350
1400,1426911,979300
1500,1687386,1124250
1600,1924065,1279200
1700,2100765,1444150
1800,2391525,1619100
1900,2654850,1804050
2000,2959977,1999000
2100,3317118,2203950
2200,3527652,2418900
2300,3850170,2643850
2400,4273809,2878800
2500,4714233,3123750
2600,4985076,3378700
2700,5366376,3643650
2800,5675586,3918600
2900,6330663,4203550
3000,6585387,4498500
3100,7058961,4803450
3200,7580757,5118400
3300,8145282,5443350
3400,8613402,5778300
3500,8926848,6123250
3600,9605979,6478200
3700,10119246,6843150
3800,10820145,7218100
3900,11236833,7603050
4000,11705814,7998000
4100,12323247,8402950
4200,13118220,8817900
4300,13634853,9242850
4400,14439576,9677800
4500,15208107,10122750
4600,15511278,10577700
4700,16371612,11042650
4800,16978011,11517600
4900,18094950,12002550
5000,18390546,12497500
5100,19329810,13002450
5200,20123460,13517400
5300,20746128,14042350
5400,21724800,14577300
5500,22946232,15122250
5600,23456391,15677200
5700,24290262,16242150
5800,25027875,16817100
5900,25762590,17402050
6000,26392773,17997000
6100,27464025,18601950
6200,28422420,19216900
6300,30024363,19841850
6400,30683580,20476800
6500,31553604,21121750
6600,32366610,21776700
6700,33050301,22441650
6800,34293672,23116600
6900,34988202,23801550
7000,36133143,24496500
7100,37673982,25201450
7200,38485893,25916400
7300,39440778,26641350
7400,41136474,27376300
7500,41966445,28121250
7600,42767373,28876200
7700,43673775,29641150
7800,44605836,30416100
7900,46794990,31201050
8000,47830368,31996000
8100,48404481,32800950
8200,50065446,33615900
8300,51881052,34440850
8400,52598775,35275800
8500,54163398,36120750
8600,54730161,36975700
8700,55466739,37840650
8800,56880990,38715600
8900,58776132,39600550
9000,60695208,40495500
9100,62031303,41400450
9200,62971578,42315400
9300,64104771,43240350
9400,65708799,44175300
9500,66463254,45120250
9600,68169528,46075200
9700,70198782,47040150
9800,71735811,48015100
9900,72596106,49000050
100,6687,4950
200,32250,19900
300,66276,44850
400,119061,79800
500,183441,124750
600,275286,179700
700,345867,244650
800,467559,319600
900,597702,404550
1000,740103,499500
1100,875229,604450
1200,1076046,719400
1300,1251855,844350
1400,1452093,979300
1500,1669734,1124250
1600,1868064,1279200
1700,2155815,1444150
1800,2434539,1619100
1900,2663811,1804050
2000,3012258,1999000
2100,3309372,2203950
2200,3553635,2418900
2300,3919617,2643850
2400,4297143,2878800
2500,4595343,3123750
2600,5014686,3378700
2700,5461257,3643650
2800,5873490,3918600
2900,6314103,4203550
3000,6810852,4498500
3100,7038318,4803450
3200,7569129,5118400
3300,8177739,5443350
3400,8541501,5778300
3500,9107694,6123250
3600,9671277,6478200
3700,10174356,6843150
3800,10738086,7218100
3900,11251068,7603050
4000,11806575,7998000
4100,12463446,8402950
4200,13038066,8817900
4300,13760472,9242850
4400,14346384,9677800
4500,14685744,10122750
4600,15686928,10577700
4700,16273038,11042650
4800,16926228,11517600
4900,18000897,12002550
5000,18342615,12497500
5100,19575024,13002450
5200,20176368,13517400
5300,20819136,14042350
5400,21422397,14577300
5500,22801854,15122250
5600,23025141,15677200
5700,23958843,16242150
5800,25130565,16817100
5900,25636956,17402050
6000,26553594,17997000
6100,27518868,18601950
6200,28394223,19216900
6300,29311095,19841850
6400,30220389,20476800
6500,31283370,21121750
6600,32694138,21776700
6700,33378759,22441650
6800,34371009,23116600
6900,35205408,23801550
7000,36231915,24496500
7100,37042602,25201450
7200,38445135,25916400
7300,39073260,26641350
7400,40580397,27376300
7500,41555826,28121250
7600,42820575,28876200
7700,43682874,29641150
7800,45037650,30416100
7900,47068353,31201050
8000,47805135,31996000
8100,48575556,32800950
8200,50359683,33615900
8300,51315471,34440850
8400,51734253,35275800
8500,53718117,36120750
8600,54817878,36975700
8700,56086536,37840650
8800,57844179,38715600
8900,58343226,39600550
9000,59932065,40495500
9100,61675923,41400450
9200,62795109,42315400
9300,64427757,43240350
9400,65529492,44175300
9500,66578463,45120250
9600,68633175,46075200
9700,69180690,47040150
9800,72217326,48015100
9900,72780954,49000050
